Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Basel 1893,Away,38',Goal,Dominik Schmid,Left-footed shot,Juan Carlos Gauto,,4244793
FC Basel 1893,Away,51',Substitution,Jean-Kévin Augustin,Injury,,Benjamin Kololli,4244793
FC Basel 1893,Away,61',Substitution,Mohamed Dräger,Tactical,,Juan Carlos Gauto,4244793
FC Basel 1893,Away,62',Substitution,Dion Kacuri,Tactical,,Taulant Xhaka,4244793
Grasshopper Club Zurich,Home,62',Substitution,Dijon Kameri,Tactical,,Giotto Morandi,4244793
FC Basel 1893,Away,73',Substitution,Albian Ajeti,Tactical,,Anton Kade,4244793
FC Basel 1893,Away,73',Substitution,Kevin Rüegg,Tactical,,Finn van Breemen,4244793
Grasshopper Club Zurich,Home,80',Substitution,Filipe de Carvalho,Tactical,,Bradley Fink,4244793
Grasshopper Club Zurich,Home,89',Substitution,Pascal Schürpf,Tactical,,Francis Momoh,4244793
Grasshopper Club Zurich,Home,89',Substitution,Florian Hoxha,Tactical,,Théo Ndicka Matam,4244793
FC Basel 1893,Away,10',Yellow Card,Anton Kade,Foul,,,4244793
FC Basel 1893,Away,21',Yellow Card,Taulant Xhaka,Foul,,,4244793
Grasshopper Club Zurich,Home,23',Yellow Card,Ayumu Seko,Foul,,,4244793
Grasshopper Club Zurich,Home,25',Yellow Card,Giotto Morandi,Foul,,,4244793
FC Basel 1893,Away,35',Yellow Card,Finn van Breemen,Foul,,,4244793
Grasshopper Club Zurich,Home,75',Yellow Card,Dirk Abels,Foul,,,4244793
Grasshopper Club Zurich,Home,77',Yellow-Red Card,Dirk Abels,Foul,,,4244793
Grasshopper Club Zurich,Home,79',Yellow Card,Amir Abrashi,Dissent,,,4244793
BSC Young Boys,Home,70',Goal,Cedric Itten,Direct free kick,,,4244794
BSC Young Boys,Home,62',Substitution,Cedric Itten,Tactical,,Silvere Ganvoula,4244794
BSC Young Boys,Home,62',Substitution,Ebrima Colley,Tactical,,Joel Mvuka,4244794
BSC Young Boys,Home,62',Substitution,Jaouen Hadjam,Tactical,,Noah Persson,4244794
FC Stade-Lausanne-Ouchy,Away,66',Substitution,Gabriel Kyeremateng,Injury,,Vitalie Damaşcan,4244794
BSC Young Boys,Home,77',Substitution,Saidy Janko,Tactical,,Darian Males,4244794
FC Stade-Lausanne-Ouchy,Away,77',Substitution,Linus Obexer,Tactical,,Elies Mahmoud,4244794
FC Stade-Lausanne-Ouchy,Away,77',Substitution,Alban Ajdini,Tactical,,Dylan Ouedraogo,4244794
FC Stade-Lausanne-Ouchy,Away,83',Substitution,Valon Hamdiu,Tactical,,Romain Bayard,4244794
FC Stade-Lausanne-Ouchy,Away,83',Substitution,Liridon Mulaj,Tactical,,Mergim Qarri,4244794
BSC Young Boys,Home,88',Substitution,Sandro Lauper,Tactical,,Lukasz Lakomy,4244794
FC Stade-Lausanne-Ouchy,Away,23',Yellow Card,Mergim Qarri,Foul,,,4244794
BSC Young Boys,Home,51',Yellow Card,Silvere Ganvoula,Foul,,,4244794
BSC Young Boys,Home,57',Yellow Card,Joel Mvuka,Foul,,,4244794
FC Stade-Lausanne-Ouchy,Away,72',Yellow Card,Dylan Ouedraogo,Dissent,,,4244794
BSC Young Boys,Home,74',Direct Red Card,Lewin Blum,Professional foul,,,4244794
FC Stade-Lausanne-Ouchy,Away,87',Yellow Card,Linus Obexer,Foul,,,4244794
FC Zürich,Away,90',Goal,Antonio Marchesano,Right-footed shot,,,4244795
FC Zürich,Away,59',Substitution,Armstrong Oko-Flex,Tactical,,Fabian Rohner,4244795
FC Zürich,Away,59',Substitution,Daniel Afriyie,Tactical,,Junior Ligue,4244795
FC Luzern,Home,62',Substitution,Martin Frydek,Tactical,,Leny Meyer,4244795
FC Luzern,Home,62',Substitution,Levin Winkler,Tactical,,Nicky Beloko,4244795
FC Luzern,Home,62',Substitution,Sofyan Chader,Tactical,,Teddy Okou,4244795
FC Zürich,Away,75',Substitution,Amadou Dante,Tactical,,Nikola Boranijasevic,4244795
FC Luzern,Home,75',Substitution,Lars Villiger,Tactical,,Thibault Klidjé,4244795
FC Luzern,Home,82',Substitution,Mauricio Willimann,Injury,,Denis Simani,4244795
