Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Winterthur,Away,61',Yellow Card,Silvan Sidler,Foul,,,4089706
BSC Young Boys,Home,67',Yellow Card,Filip Ugrinic,Dissent,,,4089706
FC Winterthur,Away,77',Yellow Card,Sayfallah Ltaief,Diving,,,4089706
FC Winterthur,Away,85',Yellow Card,Thibault Corbaz,Foul,,,4089706
FC Winterthur,Away,87',Yellow Card,Alexandre Jankewitz,Foul,,,4089706
BSC Young Boys,Home,90',Yellow Card,Mohamed Camara,Foul,,,4089706
FC Zürich,Home,68',Goal,Daniel Afriyie,Right-footed shot,,,4089707
FC Zürich,Home,76',Goal,Daniel Afriyie,Left-footed shot,,,4089707
FC Zürich,Home,80',Goal,Jonathan Okita,Left-footed shot,Antonio Marchesano,,4089707
FC Zürich,Home,56',Substitution,Antonio Marchesano,Tactical,,Fabian Rohner,4089707
FC Lugano,Away,58',Substitution,Mohamed Amoura,Tactical,,Roman Macek,4089707
FC Lugano,Away,77',Substitution,Shkelqim Vladi,Tactical,,Jonathan Sabbatini,4089707
FC Lugano,Away,77',Substitution,Jhon Espinoza,Tactical,,Allan Arigoni,4089707
FC Lugano,Away,77',Substitution,Mohamed Belhadj Mahmoud,Tactical,,Uran Bislimi,4089707
FC Lugano,Away,82',Substitution,Yanis Cimignani,Tactical,,Zan Celar,4089707
FC Zürich,Home,85',Substitution,Ivan Santini,Tactical,,Daniel Afriyie,4089707
FC Zürich,Home,88',Substitution,Marc Hornschuh,Tactical,,Cheick Condé,4089707
FC Zürich,Home,88',Substitution,Bledian Krasniqi,Tactical,,Jonathan Okita,4089707
FC Zürich,Home,71',Yellow Card,Daniel Afriyie,Foul,,,4089707
FC Zürich,Home,90',Yellow Card,Fabio Daprelà,Foul,,,4089707
FC Lausanne-Sport,Home,29',Goal,Alvyn Sanches,Left-footed shot,Antoine Bernede,,4089708
Yverdon Sport FC,Away,45',Goal,Varol Tasar,Direct free kick,,,4089708
Yverdon Sport FC,Away,90',Goal,Evans Maurin,Right-footed shot,,,4089708
Yverdon Sport FC,Away,71',Substitution,Mauro Rodrigues,Tactical,,Varol Tasar,4089708
Yverdon Sport FC,Away,71',Substitution,Dominic Corness,Tactical,,Hugo Fargues,4089708
Yverdon Sport FC,Away,71',Substitution,Evans Maurin,Tactical,,Brian Beyer,4089708
FC Lausanne-Sport,Home,73',Substitution,Brighton Labeau,Tactical,,Alvyn Sanches,4089708
FC Lausanne-Sport,Home,80',Substitution,Jamie Roche,Tactical,,Kaly Sène,4089708
