Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID,matchday,weekday,date,time,Minutes Played,Player Event
Right Winger,Albin Krasniqi,20,€125k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Centre-Forward,Nikolaj Möller,21,€250k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,28,Substituted In
Goalkeeper,Marwin Hitz,35,€500k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Centre-Back,Finn van Breemen,20,€800k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Centre-Back,Arnau Comas,23,€1.50m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,79,Substituted Out
Left-Back,Riccardo Calafiori,21,€4.50m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Right-Back,Sergio López,24,€1.40m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,46,Substituted Out
Defensive Midfield,Wouter Burger,22,€4.50m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Defensive Midfield,Fabian Frei,34,€200k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Right Midfield,Jonathan Dubasin,23,€1.50m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,52,Substituted Out
Left Midfield,Dan Ndoye,22,€3.50m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Attacking Midfield,Jean-Kévin Augustin,26,€1.30m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,74,Substituted Out
Centre-Forward,Thierno Barry,20,€1.30m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Goalkeeper,Mirko Salvi,29,€100k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Centre-Back,Nasser Djiga,20,€700k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,11,Substituted In
Left-Back,Dominik Schmid,25,€2.50m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,16,Substituted In
Right-Back,Michael Lang,32,€400k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,44,Substituted In
Defensive Midfield,Leon Avdullahu,19,€100k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Attacking Midfield,Adriano Onyegbule,17,€200k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Left Winger,Liam Millar,23,€1.70m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,38,Substituted In
Left Winger,Anton Kade,19,€1.00m,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Centre-Forward,Andrin Hunziker,20,€350k,FC Basel 1893,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Goalkeeper,Markus Kuster,29,€600k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Centre-Back,Basil Stillhart,29,€500k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Centre-Back,Yannick Schmid,28,€500k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Left-Back,Souleymane Diaby,23,€500k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,89,Substituted Out
Right-Back,Silvan Sidler,25,€400k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Defensive Midfield,Luca Zuffi,33,€100k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Defensive Midfield,Alexandre Jankewitz,21,€500k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Right Midfield,Samuel Ballet,22,€400k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Left Midfield,Nishan Burkart,23,€500k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,76,Substituted Out
Attacking Midfield,Matteo Di Giusto,22,€1.00m,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,76,Substituted Out
Centre-Forward,Aldin Turkes,27,€150k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,67,Substituted Out
Goalkeeper,Jozef Pukaj,23,€200k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Centre-Back,Remo Arnold,26,€300k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Left-Back,Tobias Schättin,26,€300k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,1,Substituted In
Right-Back,Michael Gonçalves,28,€200k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Defensive Midfield,Thibault Corbaz,29,€200k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Left Midfield,Samir Ramizi,31,€300k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,14,Substituted In
Attacking Midfield,Randy Schneider,21,€400k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Left Winger,Sayfallah Ltaief,23,€400k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,14,Substituted In
Centre-Forward,Roman Buess,30,€200k,FC Winterthur,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Home,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,23,Substituted In
Goalkeeper,Pascal Loretz,20,€800k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Centre-Back,Ismajl Beka,23,€800k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Centre-Back,Marco Burch,22,€4.00m,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Left-Back,Martin Frydek,31,€500k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Right-Back,Severin Ottiger,20,€800k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,46,Substituted Out
Defensive Midfield,Nicky Beloko,23,€2.40m,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,46,Substituted Out
Central Midfield,Pius Dorn,26,€1.20m,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Central Midfield,Max Meyer,27,€3.00m,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,90,
Right Midfield,Kevin Spadanuda,26,€700k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,86,Substituted Out
Left Midfield,Teddy Okou,25,€750k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,46,Substituted Out
Centre-Forward,Lars Villiger,20,€400k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Starting,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,60,Substituted Out
Goalkeeper,Vaso Vasic,33,€200k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Centre-Back,Denis Simani,31,€200k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Centre-Back,Luca Jaquez,20,€600k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Right-Back,Dario Ulrich,25,€300k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,44,Substituted In
Central Midfield,Noah Rupp,19,€400k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,0,
Attacking Midfield,Jakub Kadák,22,€600k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,44,Substituted In
Left Winger,Luuk Breedijk,19,€400k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,4,Substituted In
Centre-Forward,Asumah Abubakar,26,€400k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,44,Substituted In
Centre-Forward,Kemal Ademi,27,€500k,FC Luzern,"1. Matchday | Sat, 7/22/23   |  8:30 PM",Away,Substitute,4089695,1. Matchday,Sat,2023-07-22,8:30 PM,30,Substituted In
Goalkeeper,Anthony Racioppi,24,€1.70m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,90,
Centre-Back,Mohamed Camara,25,€4.20m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,90,
Centre-Back,Fabian Lustenberger,35,€200k,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,90,
Left-Back,Loris Benito,31,€500k,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,90,
Right-Back,Saidy Janko,27,€1.00m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,78,Substituted Out
Defensive Midfield,Cheikh Niasse,23,€2.80m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,78,Substituted Out
Right Midfield,Filip Ugrinic,24,€2.70m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,78,Substituted Out
Left Midfield,Joël Monteiro,23,€700k,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,68,Substituted Out
Attacking Midfield,Fabian Rieder,21,€15.00m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,90,
Centre-Forward,Meschack Elia,25,€5.00m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,90,
Centre-Forward,Jean-Pierre Nsame,30,€3.50m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Starting,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,68,Substituted Out
Goalkeeper,Marvin Keller,21,€800k,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Substitute,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,0,
Centre-Back,Aurèle Amenda,19,€2.00m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Substitute,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,0,
Right-Back,Lewin Blum,21,€1.80m,BSC Young Boys,"1. Matchday | Sun, 7/23/23   |  4:30 PM",Home,Substitute,4089696,1. Matchday,Sun,2023-07-23,4:30 PM,12,Substituted In
